item_id	i_Action	i_Adventure	i_Animation	i_Children's	i_Comedy	i_Crime	i_Documentary	i_Drama	i_Fantasy	i_Film-Noir	i_Horror	i_Musical	i_Mystery	i_Romance	i_Sci-Fi	i_Thriller	i_War	i_Western	i_Other	i_year
1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13
3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	13
4	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13
5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
6	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	13
7	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	13
8	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13
11	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	13
12	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13
13	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13
15	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	13
16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	13
17	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	13
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13
19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
21	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13
22	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	13
23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13
24	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	13
25	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	13
26	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13
27	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13
28	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	13
29	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13
30	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13
31	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13
32	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	13
33	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	13
34	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13
35	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	13
