Model,Test,Best Iter,Time,Seed,Run CMD
,"HR@5:0.2065,NDCG@5:0.1301,HR@10:0.3347,NDCG@10:0.1713,HR@20:0.4859,NDCG@20:0.2096,HR@50:0.6896,NDCG@50:0.2499",,,0,python main.py --model_name POP --train 0 --dataset 'Grocery_and_Gourmet_Food' --random_seed 0 --gpu 0
,"HR@5:0.2065,NDCG@5:0.1301,HR@10:0.3347,NDCG@10:0.1713,HR@20:0.4859,NDCG@20:0.2096,HR@50:0.6896,NDCG@50:0.2499",,,1,python main.py --model_name POP --train 0 --dataset 'Grocery_and_Gourmet_Food' --random_seed 1 --gpu 0
,"HR@5:0.2065,NDCG@5:0.1301,HR@10:0.3347,NDCG@10:0.1713,HR@20:0.4859,NDCG@20:0.2096,HR@50:0.6896,NDCG@50:0.2499",,,2,python main.py --model_name POP --train 0 --dataset 'Grocery_and_Gourmet_Food' --random_seed 2 --gpu 0
,"HR@5:0.2065,NDCG@5:0.1301,HR@10:0.3347,NDCG@10:0.1713,HR@20:0.4859,NDCG@20:0.2096,HR@50:0.6896,NDCG@50:0.2499",,,3,python main.py --model_name POP --train 0 --dataset 'Grocery_and_Gourmet_Food' --random_seed 3 --gpu 0
,"HR@5:0.2065,NDCG@5:0.1301,HR@10:0.3347,NDCG@10:0.1713,HR@20:0.4859,NDCG@20:0.2096,HR@50:0.6896,NDCG@50:0.2499",,,4,python main.py --model_name POP --train 0 --dataset 'Grocery_and_Gourmet_Food' --random_seed 4 --gpu 0
POP,"0.2065,0.1301,0.3347,0.1713,0.4859,0.2096,0.6896,0.2499",,,,
,,,,,
,,,,,
,,,,,
,"HR@5:0.3556,NDCG@5:0.2496,HR@10:0.4615,NDCG@10:0.2840,HR@20:0.5723,NDCG@20:0.3120,HR@50:0.7788,NDCG@50:0.3526",194,459.7,0,python main.py --model_name BPRMF --emb_size 64 --lr 1e-3 --l2 1e-6 --dataset 'Grocery_and_Gourmet_Food' --random_seed 0 --gpu 0
,"HR@5:0.3547,NDCG@5:0.2487,HR@10:0.4607,NDCG@10:0.2832,HR@20:0.5688,NDCG@20:0.3104,HR@50:0.7801,NDCG@50:0.3519",115,310.3,1,python main.py --model_name BPRMF --emb_size 64 --lr 1e-3 --l2 1e-6 --dataset 'Grocery_and_Gourmet_Food' --random_seed 1 --gpu 0
,"HR@5:0.3614,NDCG@5:0.2520,HR@10:0.4656,NDCG@10:0.2858,HR@20:0.5705,NDCG@20:0.3122,HR@50:0.7788,NDCG@50:0.3532",200,465.0,2,python main.py --model_name BPRMF --emb_size 64 --lr 1e-3 --l2 1e-6 --dataset 'Grocery_and_Gourmet_Food' --random_seed 2 --gpu 0
,"HR@5:0.3528,NDCG@5:0.2470,HR@10:0.4628,NDCG@10:0.2827,HR@20:0.5716,NDCG@20:0.3101,HR@50:0.7801,NDCG@50:0.3510",170,449.6,3,python main.py --model_name BPRMF --emb_size 64 --lr 1e-3 --l2 1e-6 --dataset 'Grocery_and_Gourmet_Food' --random_seed 3 --gpu 0
,"HR@5:0.3498,NDCG@5:0.2458,HR@10:0.4580,NDCG@10:0.2809,HR@20:0.5689,NDCG@20:0.3089,HR@50:0.7764,NDCG@50:0.3497",165,437.0,4,python main.py --model_name BPRMF --emb_size 64 --lr 1e-3 --l2 1e-6 --dataset 'Grocery_and_Gourmet_Food' --random_seed 4 --gpu 0
BPRMF,"0.3549,0.2486,0.4617,0.2833,0.5704,0.3107,0.7788,0.3517",,,,
,,,,,
,,,,,
,,,,,
,"HR@5:0.3259,NDCG@5:0.2233,HR@10:0.4380,NDCG@10:0.2597,HR@20:0.5497,NDCG@20:0.2879,HR@50:0.7602,NDCG@50:0.3293",32,166.4,0,python main.py --model_name NeuMF --emb_size 64 --layers '[64]' --lr 5e-4 --l2 1e-7 --dropout 0.2 --dataset 'Grocery_and_Gourmet_Food' --random_seed 0 --gpu 0
,"HR@5:0.3210,NDCG@5:0.2203,HR@10:0.4339,NDCG@10:0.2570,HR@20:0.5467,NDCG@20:0.2854,HR@50:0.7510,NDCG@50:0.3257",23,135.7,1,python main.py --model_name NeuMF --emb_size 64 --layers '[64]' --lr 5e-4 --l2 1e-7 --dropout 0.2 --dataset 'Grocery_and_Gourmet_Food' --random_seed 1 --gpu 0
,"HR@5:0.3263,NDCG@5:0.2233,HR@10:0.4325,NDCG@10:0.2578,HR@20:0.5420,NDCG@20:0.2854,HR@50:0.7467,NDCG@50:0.3256",17,116.3,2,python main.py --model_name NeuMF --emb_size 64 --layers '[64]' --lr 5e-4 --l2 1e-7 --dropout 0.2 --dataset 'Grocery_and_Gourmet_Food' --random_seed 2 --gpu 0
,"HR@5:0.3222,NDCG@5:0.2222,HR@10:0.4351,NDCG@10:0.2589,HR@20:0.5481,NDCG@20:0.2874,HR@50:0.7576,NDCG@50:0.3287",32,163.6,3,python main.py --model_name NeuMF --emb_size 64 --layers '[64]' --lr 5e-4 --l2 1e-7 --dropout 0.2 --dataset 'Grocery_and_Gourmet_Food' --random_seed 3 --gpu 0
,"HR@5:0.3229,NDCG@5:0.2213,HR@10:0.4347,NDCG@10:0.2576,HR@20:0.5513,NDCG@20:0.2870,HR@50:0.7562,NDCG@50:0.3274",36,177.1,4,python main.py --model_name NeuMF --emb_size 64 --layers '[64]' --lr 5e-4 --l2 1e-7 --dropout 0.2 --dataset 'Grocery_and_Gourmet_Food' --random_seed 4 --gpu 0
NeuMF,"0.3237,0.2221,0.4348,0.2582,0.5476,0.2866,0.7543,0.3273",,,,
,,,,,
,,,,,
,,,,,
,"HR@5:0.4193,NDCG@5:0.2975,HR@10:0.5432,NDCG@10:0.3376,HR@20:0.6698,NDCG@20:0.3697,HR@50:0.8491,NDCG@50:0.4053",104,1678.4,0,python main.py --model_name CFKG --emb_size 64 --margin 1 --include_attr 1 --lr 1e-4 --l2 1e-8 --dataset 'Grocery_and_Gourmet_Food' --random_seed 0 --gpu 0
,"HR@5:0.4252,NDCG@5:0.3020,HR@10:0.5452,NDCG@10:0.3408,HR@20:0.6742,NDCG@20:0.3734,HR@50:0.8521,NDCG@50:0.4087",101,1660.1,1,python main.py --model_name CFKG --emb_size 64 --margin 1 --include_attr 1 --lr 1e-4 --l2 1e-8 --dataset 'Grocery_and_Gourmet_Food' --random_seed 1 --gpu 0
,"HR@5:0.4214,NDCG@5:0.2990,HR@10:0.5447,NDCG@10:0.3390,HR@20:0.6679,NDCG@20:0.3701,HR@50:0.8492,NDCG@50:0.4060",103,1681.5,2,python main.py --model_name CFKG --emb_size 64 --margin 1 --include_attr 1 --lr 1e-4 --l2 1e-8 --dataset 'Grocery_and_Gourmet_Food' --random_seed 2 --gpu 0
,"HR@5:0.4177,NDCG@5:0.2971,HR@10:0.5446,NDCG@10:0.3381,HR@20:0.6668,NDCG@20:0.3691,HR@50:0.8490,NDCG@50:0.4052",114,1870.9,3,python main.py --model_name CFKG --emb_size 64 --margin 1 --include_attr 1 --lr 1e-4 --l2 1e-8 --dataset 'Grocery_and_Gourmet_Food' --random_seed 3 --gpu 0
,"HR@5:0.4160,NDCG@5:0.2963,HR@10:0.5434,NDCG@10:0.3375,HR@20:0.6745,NDCG@20:0.3706,HR@50:0.8510,NDCG@50:0.4056",102,1655.9,4,python main.py --model_name CFKG --emb_size 64 --margin 1 --include_attr 1 --lr 1e-4 --l2 1e-8 --dataset 'Grocery_and_Gourmet_Food' --random_seed 4 --gpu 0
CFKG,"0.4199,0.2984,0.5442,0.3386,0.6706,0.3706,0.8501,0.4062",,,,
,,,,,
,,,,,
,,,,,
,"HR@5:0.3732,NDCG@5:0.2596,HR@10:0.4874,NDCG@10:0.2966,HR@20:0.6055,NDCG@20:0.3263,HR@50:0.8124,NDCG@50:0.3671",51,556.9,0,python main.py --model_name LightGCN --emb_size 64 --n_layers 3 --lr 1e-3 --l2 1e-8 --dataset 'Grocery_and_Gourmet_Food' --random_seed 0 --gpu 0
,"HR@5:0.3701,NDCG@5:0.2552,HR@10:0.4863,NDCG@10:0.2930,HR@20:0.6098,NDCG@20:0.3242,HR@50:0.8202,NDCG@50:0.3657",40,387.8,1,python main.py --model_name LightGCN --emb_size 64 --n_layers 3 --lr 1e-3 --l2 1e-8 --dataset 'Grocery_and_Gourmet_Food' --random_seed 1 --gpu 0
,"HR@5:0.3699,NDCG@5:0.2555,HR@10:0.4888,NDCG@10:0.2942,HR@20:0.6104,NDCG@20:0.3248,HR@50:0.8196,NDCG@50:0.3661",41,382.3,2,python main.py --model_name LightGCN --emb_size 64 --n_layers 3 --lr 1e-3 --l2 1e-8 --dataset 'Grocery_and_Gourmet_Food' --random_seed 2 --gpu 0
,"HR@5:0.3688,NDCG@5:0.2560,HR@10:0.4928,NDCG@10:0.2964,HR@20:0.6109,NDCG@20:0.3261,HR@50:0.8203,NDCG@50:0.3675",28,299.5,3,python main.py --model_name LightGCN --emb_size 64 --n_layers 3 --lr 1e-3 --l2 1e-8 --dataset 'Grocery_and_Gourmet_Food' --random_seed 3 --gpu 0
,"HR@5:0.3703,NDCG@5:0.2557,HR@10:0.4932,NDCG@10:0.2958,HR@20:0.6115,NDCG@20:0.3255,HR@50:0.8188,NDCG@50:0.3666",35,343.3,4,python main.py --model_name LightGCN --emb_size 64 --n_layers 3 --lr 1e-3 --l2 1e-8 --dataset 'Grocery_and_Gourmet_Food' --random_seed 4 --gpu 0
LightGCN,"0.3705,0.2564,0.4897,0.2952,0.6096,0.3254,0.8183,0.3666",,,,
,,,,,
,,,,,
,,,,,
,"HR@5:0.3673,NDCG@5:0.2543,HR@10:0.4893,NDCG@10:0.2940,HR@20:0.6005,NDCG@20:0.3221,HR@50:0.7960,NDCG@50:0.3607",178,596.7,0,python main.py --model_name BUIR --emb_size 64 --lr 1e-3 --l2 1e-6 --dataset 'Grocery_and_Gourmet_Food' --random_seed 0 --gpu 0
,"HR@5:0.3698,NDCG@5:0.2567,HR@10:0.4912,NDCG@10:0.2962,HR@20:0.6055,NDCG@20:0.3251,HR@50:0.8026,NDCG@50:0.3638",127,434.0,1,python main.py --model_name BUIR --emb_size 64 --lr 1e-3 --l2 1e-6 --dataset 'Grocery_and_Gourmet_Food' --random_seed 1 --gpu 0
,"HR@5:0.3668,NDCG@5:0.2545,HR@10:0.4876,NDCG@10:0.2939,HR@20:0.6020,NDCG@20:0.3228,HR@50:0.8018,NDCG@50:0.3623",70,270.1,2,python main.py --model_name BUIR --emb_size 64 --lr 1e-3 --l2 1e-6 --dataset 'Grocery_and_Gourmet_Food' --random_seed 2 --gpu 0
